ticker,volume,volume_weighted_avg_price,open_price,close_price,highest_price,lowest_price,um_timestamp,transactions,market_close,market
NWFL,4838.0,30.3524,30.38,30.45,30.49,30.199,1734123600000,283.0,2024-12-13,NYSE
ABCS,1322.0,29.8138,29.85,29.8015,29.85,29.795,1734123600000,11.0,2024-12-13,NYSE
KLXY,7974.0,24.2007,24.215,24.1835,24.215,24.13,1734123600000,76.0,2024-12-13,NYSE
NGLpB,8338.0,23.7405,23.8308,23.53,23.95,23.51,1734123600000,121.0,2024-12-13,NYSE
VFMV,5627.0,124.7934,124.775,124.79,124.87,124.66,1734123600000,97.0,2024-12-13,NYSE
ISMD,8323.0,39.4589,39.525,39.46,39.5736,39.29,1734123600000,110.0,2024-12-13,NYSE
NXPLW,31695.0,0.1118,0.2,0.081001,0.2,0.081001,1734123600000,45.0,2024-12-13,NYSE
DDIV,3149.0,38.9215,39.04,38.9183,39.04,38.8948,1734123600000,48.0,2024-12-13,NYSE
ROAM,923.0,24.1229,24.131,24.1305,24.1329,24.125,1734123600000,33.0,2024-12-13,NYSE
ZHDG,3616.0,21.4141,21.41,21.3919,21.45,21.3919,1734123600000,8.0,2024-12-13,NYSE
LNGZ,5194.0,29.0426,29.11,29.0885,29.15,29.0,1734123600000,20.0,2024-12-13,NYSE
DECZ,5723.0,38.6765,38.73,38.6881,38.75,38.6,1734123600000,55.0,2024-12-13,NYSE
GHG,12531.0,2.5621,2.55,2.5587,2.6,2.52,1734123600000,86.0,2024-12-13,NYSE
OBIO,30756.0,5.2463,5.38,5.26,5.38,5.0526,1734123600000,967.0,2024-12-13,NYSE
DLHC,41958.0,7.5407,7.55,7.57,7.64,7.48,1734123600000,1368.0,2024-12-13,NYSE
TOIIW,23955.0,0.01425,0.0141,0.0104,0.0164,0.0103,1734123600000,21.0,2024-12-13,NYSE
RPID,20566.0,0.999,1.0207,1.0003,1.0207,0.97,1734123600000,126.0,2024-12-13,NYSE
ASTI,47797.0,2.5861,2.6718,2.55,2.68,2.4701,1734123600000,374.0,2024-12-13,NYSE
ZIONP,4524.0,23.3181,23.2344,23.3647,23.3877,23.23,1734123600000,14.0,2024-12-13,NYSE
TRFM,1977.0,39.7956,40.02,39.8437,40.02,39.6399,1734123600000,28.0,2024-12-13,NYSE
